number,area,perimeter,minellipse,majellipse,cumulativeAverage
142,1978,222,34.2008,73.7668,2153.288732
143,2037,218,34.237,76.0622,2152.475524
144,1448,190,28.2368,65.7476,2147.583333
145,2328,240,39.1989,75.7595,2148.827586
146,2398,230,38.3847,79.7033,2150.534247
147,2649,252,41.5023,81.4054,2153.92517
148,2161,218,36.1899,76.1445,2153.972973
149,2172,222,36.7766,75.2987,2154.09396
150,2312,246,37.3859,78.924,2155.146667
151,1930,206,34.7133,70.9535,2153.655629
152,1847,212,33.332,70.7224,2151.638158
153,1987,228,33.6411,75.6533,2150.562092
154,2497,236,38.9051,81.8585,2152.811688
155,1771,202,31.4243,71.8597,2150.348387
156,1861,216,34.5205,68.7302,2148.49359
157,2842,264,44.1838,82.0776,2152.910828
158,1855,224,33.0867,71.5697,2151.025316
159,2265,241,38.3411,75.4713,2151.742138
160,2172,234,34.44,80.5303,2151.86875
161,2132,228,36.6281,74.3549,2151.745342
162,1973,220,35.0504,71.8357,2150.641975
163,1976,234,32.2288,78.1917,2149.570552
164,2327,244,38.4429,77.1853,2150.652439
165,2163,226,40.6239,68.2241,2150.727273
166,2155,224,37.2765,73.7719,2150.753012
167,2029,220,34.1828,75.7185,2150.023952
168,2163,236,36.8692,75.046,2150.10119
169,1965,218,35.9684,69.6818,2149.005917
170,1919,214,33.4803,73.1287,2147.652941
171,2343,232,39.1963,76.2477,2148.795322
172,2365,250,37.4646,80.4621,2150.052326
173,2328,236,39.9989,74.3231,2151.080925
174,2221,240,36.7357,77.1418,2151.482759
175,2634,240,40.3894,83.1611,2154.24
176,2145,237,35.7476,76.5911,2154.1875
177,1798,200,33.9957,67.4513,2152.175141
178,2383,236,39.1611,77.7331,2153.47191
179,2242,237,36.6766,77.9111,2153.96648
180,2407,232,37.5565,82.0584,2155.372222
181,2389,234,40.364,75.5315,2156.662983
182,2487,254,38.7265,81.8797,2158.478022
183,2095,220,36.7662,72.7456,2158.131148
184,2365,236,39.2631,76.8127,2159.255435
185,2019,228,36.6739,70.3836,2158.497297
186,2266,234,36.3383,79.6453,2159.075269
187,2233,226,37.35,76.2285,2159.470588
188,2249,240,36.607,78.3959,2159.946809
189,2231,224,37.0171,76.8745,2160.322751
190,2528,246,40.2742,80.0511,2162.257895
191,2089,223,36.9578,72.3277,2161.874346
192,1952,224,33.7249,73.8199,2160.78125
193,2151,232,36.2434,75.7351,2160.73057
194,2117,228,36.7675,73.4325,2160.505155
195,2367,236,38.1714,79.0812,2161.564103
196,2649,246,42.0276,80.5125,2164.05102
197,2526,243,39.6576,81.2161,2165.888325
198,2397,234,37.2956,82.0053,2167.055556
199,2189,244,36.0359,77.7687,2167.165829
200,2037,224,35.5327,73.0993,2166.515
201,2499,252,38.5818,82.5749,2168.169154
202,1728,198,31.5417,69.8514,2165.990099
203,2380,244,38.849,78.2088,2167.044335
204,1864,206,33.0342,72.1173,2165.558824
205,2215,230,37.6232,75.1941,2165.8
206,2075,230,35.8109,74.0298,2165.359223
207,1957,228,34.458,72.4968,2164.352657
208,2088,232,35.742,74.5202,2163.985577
209,2266,228,38.0684,75.9187,2164.473684
210,2099,218,37.2546,71.9253,2164.161905
211,1954,224,30.5936,81.6288,2163.165877
212,1985,222,33.3479,76.0205,2162.325472
213,2553,236,39.68,82.0403,2164.159624
214,2403,244,38.6319,79.6331,2165.275701
215,2090,233,36.5683,73.0135,2164.925581
216,2076,228,36.1777,73.2306,2164.513889
217,2454,246,38.2717,81.7833,2165.847926
218,2259,226,36.3103,79.3506,2166.275229
219,2564,238,40.4748,80.8509,2168.091324
220,2339,232,39.9495,74.7068,2168.868182
221,2555,243,40.4757,80.489,2170.615385
222,2321,228,38.2894,77.3474,2171.292793
223,2041,239,33.6718,77.4412,2170.70852
224,2210,218,38.8685,72.4981,2170.883929
225,2405,234,38.1736,80.3904,2171.924444
226,2117,220,34.5819,78.0507,2171.681416
227,2478,246,38.839,81.3354,2173.030837
228,2166,237,36.2283,76.2775,2173.0
229,2008,226,34.3386,74.5846,2172.279476
230,3098,264,47.5876,83.1013,2176.304348
231,1905,229,33.1144,74.0367,2175.12987
232,2205,221,39.6052,71.051,2175.258621
233,2104,228,36.4515,73.7075,2174.95279
234,2167,236,36.1308,76.5091,2174.918803
235,2478,242,40.9045,77.4113,2176.208511
236,2374,238,38.3419,78.9908,2177.04661
237,2115,218,35.6572,75.6666,2176.78481
238,2191,242,35.9327,77.8566,2176.844538
239,2171,224,38.9022,71.3655,2176.820084
240,1780,218,32.6045,69.6287,2175.166667
241,2467,246,39.0904,80.4425,2176.377593
242,2373,232,37.9168,79.8753,2177.190083
243,2268,242,36.964,78.2532,2177.563786
244,2326,248,38.1235,77.8826,2178.172131
245,2387,236,37.4881,81.155,2179.02449
246,3073,258,48.3365,81.1625,2182.658537
247,2262,222,37.3125,77.2977,2182.979757
248,2799,264,46.2236,77.3797,2185.46371
249,2296,244,37.0951,78.9753,2185.907631
250,2165,232,36.2643,76.3698,2185.824
251,2215,238,37.0283,76.2944,2185.940239
252,1954,220,32.9052,75.9756,2185.019841
253,2437,244,38.6141,80.4795,2186.01581
254,2303,232,39.369,74.7394,2186.476378
255,2301,232,36.1748,81.0919,2186.92549
256,2048,214,36.3317,72.0523,2186.382812
257,2082,220,36.4919,72.8558,2185.976654
258,1875,234,29.5879,80.9029,2184.771318
259,2042,218,37.0347,70.3836,2184.220077
260,2063,224,37.1011,70.9806,2183.753846
261,1990,212,36.1517,70.2041,2183.011494
262,2366,230,39.8688,75.8335,2183.709924
263,2168,222,36.2577,76.3082,2183.65019
264,2255,236,38.0628,75.6341,2183.920455
265,2124,226,35.0223,77.506,2183.69434
266,1999,220,35.2136,72.3596,2183.0
267,1874,210,32.0296,74.714,2181.842697
268,2146,236,36.2392,75.5084,2181.708955
269,2484,252,40.1814,78.9683,2182.832714
270,2036,216,35.2611,73.6177,2182.288889
271,2153,236,36.1887,75.9576,2182.180812
272,2276,230,38.9028,74.6947,2182.525735
273,2217,242,36.8547,76.8415,2182.652015
274,2162,220,37.8619,73.0574,2182.576642
275,2383,242,40.5256,75.131,2183.305455
276,2277,238,37.824,76.829,2183.644928
277,2118,226,36.2337,74.6622,2183.407942
278,2304,238,39.5048,74.4351,2183.841727
279,1829,223,32.2242,72.5517,2182.569892
280,2330,240,37.7158,78.7588,2183.096429
281,2272,236,37.3895,77.5024,2183.412811
282,2582,252,41.3434,79.7061,2184.826241
283,2301,236,38.4334,76.5795,2185.236749
284,2469,233,40.5291,77.9035,2186.235915
285,1981,216,34.5748,73.1392,2185.515789
286,1813,208,33.8518,68.4178,2184.213287
287,2170,222,35.6739,77.6096,2184.163763
288,2188,236,36.9709,75.4789,2184.177083
289,2039,219,36.0082,72.5022,2183.67474
290,2408,250,39.0269,78.8282,2184.448276
291,1913,223,33.5269,72.9537,2183.515464
292,2445,242,40.3298,77.3087,2184.410959
293,2603,262,39.2836,84.4691,2185.83959
294,1955,216,33.7307,73.8878,2185.054422
295,2354,238,38.3816,78.3827,2185.627119
296,2510,258,37.8278,84.6862,2186.722973
297,2069,232,36.9619,71.5599,2186.326599
298,2326,244,37.7359,78.5864,2186.795302
299,1417,195,23.2051,78.188,2184.220736
300,2693,264,40.1834,85.4607,2185.916667
301,2188,238,36.3225,76.8744,2185.923588
302,1909,220,34.0993,71.4046,2185.006623
303,2319,238,38.2117,77.4715,2185.448845
304,2146,224,36.6103,74.7305,2185.319079
305,2009,216,36.1101,71.0971,2184.740984
306,2200,234,38.0518,73.7625,2184.79085
307,2094,238,34.8778,76.6181,2184.495114
308,1959,218,34.6794,72.0039,2183.762987
309,2255,244,36.693,78.3821,2183.993528
310,2033,226,34.4642,75.2407,2183.506452
311,2004,218,34.4593,74.3461,2182.92926
312,1807,204,33.405,68.9887,2181.724359
313,2162,222,36.4341,75.8258,2181.661342
314,2088,220,34.2758,77.6554,2181.363057
315,1812,216,32.1219,72.0129,2180.190476
316,2287,234,36.5199,79.8056,2180.528481
317,2009,227,35.564,72.0748,2179.987382
318,2515,240,41.7541,76.8955,2181.040881
319,2052,229,35.0561,74.6544,2180.636364
320,1769,210,32.258,70.0923,2179.35
